"","Count","LBA","LF","DIST_YEAR","DIST_TYPE","TYPE_CONFIDENCE","SEVERITY","SOURCE1","SOURCE2","SOURCE3","SOURCE4","DESCRIPTION","DIST_GROUP","DIST_FIRE","hectares"
"22",25516,9999,571,2011,"Herbicide","Medium","Low","Refresh Events","MIICA","dNBR",NA,"MIICA identified disturbance within Herbicide Refresh Event perimeter (lower confidence in delineation).  Severity determined by dNBR standard deviation breakpoints.","Biological/Chemical","Disturbance-Not Fire",2296.44
"23",1112457,9999,1031,2011,"Chemical","Medium","Low","Refresh Events",NA,NA,NA,"Within Chemical Refresh Event perimeter, but no change detected by MIICA. dNBR severity typically not used due to low confidence for disturbance type.  Severity default of low.","Biological/Chemical","Disturbance-Not Fire",100121.13
"24",12530,9999,531,2011,"Chemical","Medium","Low","Refresh Events","MIICA","dNBR",NA,"MIICA identified disturbance within Chemical Refresh Event perimeter (lower confidence in delineation).  Severity determined by dNBR standard deviation breakpoints.","Biological/Chemical","Disturbance-Not Fire",1127.7
"25",3911,9999,572,2011,"Herbicide","Medium","Medium","Refresh Events","MIICA","dNBR",NA,"MIICA identified disturbance within Herbicide Refresh Event perimeter (lower confidence in delineation).  Severity determined by dNBR standard deviation breakpoints.","Biological/Chemical","Disturbance-Not Fire",351.99
"26",1817,9999,873,2011,"Herbicide","Low","High","Refresh Events","MIICA","dNBR",NA,"Herbicide causality likely, but could be other causality type than assigned (MIICA pixels within Herbicide Refresh Event 500 m buffer).  Severity determined by dNBR standard deviation breakpoints.","Biological/Chemical","Disturbance-Not Fire",163.53
"27",1823,9999,872,2011,"Herbicide","Low","Medium","Refresh Events","MIICA","dNBR",NA,"Herbicide causality likely, but could be other causality type than assigned (MIICA pixels within Herbicide Refresh Event 500 m buffer).  Severity determined by dNBR standard deviation breakpoints.","Biological/Chemical","Disturbance-Not Fire",164.07
"28",49508,1,1103,2011,"Unknown","N/A","High","MIICA","PAD","dNBR",NA,"MIICA detected change, but outside Refresh Event 500 m buffer, PAD equals 0).","Unknown","Disturbance-Not Fire",4455.72
"29",56647,1,1102,2011,"Unknown","N/A","Medium","MIICA","PAD","dNBR",NA,"MIICA detected change, but outside Refresh Event 500 m buffer, PAD equals 0).","Unknown","Disturbance-Not Fire",5098.23
"30",294112,1,1101,2011,"Unknown","N/A","Low","MIICA","PAD","dNBR",NA,"MIICA detected change, but outside Refresh Event 500 m buffer, PAD equals 0).","Unknown","Disturbance-Not Fire",26470.08
"31",180752,9999,1121,2011,"Unknown","N/A","Low","MIICA","PAD","dNBR","SMARTFire","Anthropogenic causality not expected, most likely fire related (outside Refresh Event 500m buffer, PAD GAP Status equals 1 or 2).  Within SMARTFire buffered (2500m) point.","Unknown","Disturbance-Not Fire",16267.68
"32",34219,9999,1122,2011,"Unknown","N/A","Medium","MIICA","PAD","dNBR","SMARTFire","Anthropogenic causality not expected, most likely fire related (outside Refresh Event 500m buffer, PAD GAP Status equals 1 or 2).  Within SMARTFire buffered (2500m) point.","Unknown","Disturbance-Not Fire",3079.71
"33",32478,9999,1123,2011,"Unknown","N/A","High","MIICA","PAD","dNBR","SMARTFire","Anthropogenic causality not expected, most likely fire related (outside Refresh Event 500m buffer, PAD GAP Status equals 1 or 2).  Within SMARTFire buffered (2500m) point.","Unknown","Disturbance-Not Fire",2923.02
"34",40235,9999,603,2011,"Unknown","N/A","High","MIICA","PAD","dNBR",NA,"MIICA identified disturbance.  Anthropogenic causality not expected, most likely fire related (outside Refresh Event 500m buffer, PAD GAP Status equals 1 or 2).   Severity determined by dNBR standard deviation breakpoints.","Unknown","Disturbance-Not Fire",3621.15
"35",140655,9999,1001,2011,"Wildland Fire","High","Low","Refresh Events",NA,NA,NA,"Within Wildland Fire Refresh Event perimeter, but no change detected by MIICA or dNBR. Severity default of low.","Wildfire","Disturbance-Fire",12658.95
"36",140551,9999,501,2011,"Wildland Fire","High","Low","Refresh Events","MIICA","dNBR",NA,"MIICA identified disturbance within Wildland Fire Refresh Event perimeter.  Severity determined by dNBR standard deviation breakpoints.","Wildfire","Disturbance-Fire",12649.59
"37",19531,9999,502,2011,"Wildland Fire","High","Medium","Refresh Events","MIICA","dNBR",NA,"MIICA identified disturbance within Wildland Fire Refresh Event perimeter.  Severity determined by dNBR standard deviation breakpoints.","Wildfire","Disturbance-Fire",1757.79
"38",11295,9999,503,2011,"Wildland Fire","High","High","Refresh Events","MIICA","dNBR",NA,"MIICA identified disturbance within Wildland Fire Refresh Event perimeter.  Severity determined by dNBR standard deviation breakpoints.","Wildfire","Disturbance-Fire",1016.55
"39",176732,9999,451,2011,"Mastication","High","Low","Refresh Events","MIICA","dNBR",NA,"MIICA identified disturbance within Mastication Refresh Event perimeter.  Severity determined by dNBR standard deviation breakpoints.","Mechanical","Disturbance-Not Fire",15905.88
"40",240822,9999,951,2011,"Mastication","High","Low","Refresh Events",NA,NA,NA,"Within Mastication Refresh Event perimeter, but no change detected by MIICA or dNBR. Severity default of low.","Mechanical","Disturbance-Not Fire",21673.98
"41",10413,9999,452,2011,"Mastication","High","Medium","Refresh Events","MIICA","dNBR",NA,"MIICA identified disturbance within Mastication Refresh Event perimeter.  Severity determined by dNBR standard deviation breakpoints.","Mechanical","Disturbance-Not Fire",937.17
"42",4902,9999,751,2011,"Mastication","Medium","Low","Refresh Events","dNBR",NA,NA,"Mastication causality likely, but could be other causality type than assigned (MIICA pixels within Mastication Refresh Event 500 m buffer).  Severity determined by dNBR standard deviation breakpoints.","Mechanical","Disturbance-Not Fire",441.18
"43",11572,9999,453,2011,"Mastication","High","High","Refresh Events","MIICA","dNBR",NA,"MIICA identified disturbance within Mastication Refresh Event perimeter.  Severity determined by dNBR standard deviation breakpoints.","Mechanical","Disturbance-Not Fire",1041.48
"44",1223,9999,752,2011,"Mastication","Medium","Medium","Refresh Events","dNBR",NA,NA,"Mastication causality likely, but could be other causality type than assigned (MIICA pixels within Mastication Refresh Event 500 m buffer).  Severity determined by dNBR standard deviation breakpoints.","Mechanical","Disturbance-Not Fire",110.07
"45",2079,9999,573,2011,"Herbicide","Medium","High","Refresh Events","MIICA","dNBR",NA,"MIICA identified disturbance within Herbicide Refresh Event perimeter (lower confidence in delineation).  Severity determined by dNBR standard deviation breakpoints.","Biological/Chemical","Disturbance-Not Fire",187.11
"46",777261,9999,941,2011,"Thinning","High","Low","Refresh Events",NA,NA,NA,"Within Thinning Refresh Event perimeter, but no change detected by MIICA or dNBR. Severity default of low.","Thinning","Disturbance-Not Fire",69953.49
"47",428817,9999,441,2011,"Thinning","High","Low","Refresh Events","MIICA","dNBR",NA,"MIICA identified disturbance within Thinning Refresh Event perimeter.  Severity determined by dNBR standard deviation breakpoints.","Thinning","Disturbance-Not Fire",38593.53
"48",22276,9999,741,2011,"Thinning","Medium","Low","Refresh Events","dNBR",NA,NA,"Thinning causality likely, but could be other causality type than assigned (MIICA pixels within Thinning Refresh Event 500 m buffer).  Severity determined by dNBR standard deviation breakpoints.","Thinning","Disturbance-Not Fire",2004.84
