"","Year","hectares"
"1",2011,3785021.03240212
"2",2012,3698659.95922285
"3",2013,1283005.79232133
"4",2014,1393387.4135846
"5",2015,2056329.94089583
"6",2016,1960899.14550214
"7",2017,3879459.56746466
"8",2018,3159058.81692268
"9",2019,897647.79607481
"10",2020,4171801.06322745
